machine_hours,labor_hours,downtime_hours,machine_type,operator_skill,material_quality,shift_type,maintenance_status,production_line,ambient_temp_c,humidity_percent,output_units
276.0628537885991,125.83316991232749,28.225281007316358,CNC,Expert,Grade B,Night,None,Line 3,30.3580378532048,41.917529515898224,6424.0
341.3606301809373,277.4917953768949,37.343893177461716,Injection,Senior,Grade B,Day,,Line 3,28.51348880612548,54.94991882559124,13793.0
,254.77862036928605,39.00649139837879,CNC,Senior,Grade C,Night,Preventive,Line 2,23.553424268585683,33.953420022692974,1567.0
570.1286844046476,336.3708486694451,5.460304512377712,Packaging,Junior,Grade B,Day,Reactive,Line 4,28.098509582300643,47.203141717209924,1801.0
102.08119693355104,223.50976675331088,51.13170374824133,Assembly,Expert,Grade B,Day,Preventive,Line 2,20.17308706130002,54.86174866059618,13950.0
530.5245577958143,154.52675193880586,9.854185195402621,CNC,Expert,Grade B,Day,None,Line 4,27.255620628177738,52.34666263533505,6474.0
366.9885574338537,46.93993990310664,23.845147617440816,Injection,Senior,,Rotating,Reactive,Line 2,23.684448895354056,53.02926125337004,10026.0
368.4066480183957,326.20942988308195,40.35382119638875,,Expert,Grade A,Night,None,Line 4,27.179021809884148,73.95115259696769,7904.0
246.57176701616544,230.88939843842843,3.3131940665207815,Packaging,Trainee,Grade C,Rotating,Reactive,Line 1,28.567068289984128,55.264543678265895,8957.0
,232.3074559394711,34.8254309511031,Packaging,Senior,Grade A,Rotating,None,Line 3,25.877610832466225,,10909.0
416.1348263775797,384.5424390340152,24.594967941004032,Packaging,Trainee,Grade B,,Preventive,Line 3,26.994700302768514,37.386584038203935,1739.0
178.4328665134953,215.04188659743068,3.831156375884146,Assembly,Expert,Grade C,Night,None,Line 2,20.989391039673613,44.01280437530172,616.0
,153.68847980818845,43.58346726312295,Packaging,,Grade B,Day,Reactive,Line 1,26.297793765930646,62.82578875969669,12001.0
,162.34166831288712,30.080003556856866,Packaging,Expert,Grade A,Rotating,None,Line 1,,44.156129095114075,7923.0
438.16906635600833,44.2288822803268,18.206410445617028,Packaging,Junior,Grade B,Night,Reactive,Line 1,23.992740033800903,47.36380347070258,8423.0
398.21035787799855,84.04637212425095,5.059667785376352,Injection,Trainee,Grade A,Day,None,Line 2,23.744420561198122,75.05140990037955,8515.0
452.2950295762036,55.771154778930395,,,Trainee,Grade A,Night,None,Line 4,,56.927958740251654,2474.0
